dt,AverageTemperature
1831-01-01,-5.731
1831-02-01,-4.7669999999999995
1831-03-01,4.738
1831-04-01,9.4
1831-05-01,15.541
1831-06-01,21.765
1831-07-01,22.197
1831-08-01,21.932
1831-09-01,16.881999999999998
1831-10-01,10.633
1831-11-01,3.576
1831-12-01,-7.383999999999999
1832-01-01,-3.465
1832-02-01,-2.131
1832-03-01,3.02
1832-04-01,7.499
1832-05-01,13.33
1832-06-01,18.978
1832-07-01,21.203000000000007
1832-08-01,20.796
1832-09-01,16.093999999999998
1832-10-01,9.995
1832-11-01,4.6850000000000005
1832-12-01,-0.258
1833-01-01,-0.8399999999999999
1833-02-01,-2.744
1833-03-01,1.2209999999999999
1833-04-01,10.386
1833-05-01,15.908
1833-06-01,17.506
1833-07-01,21.611
1833-08-01,19.515
1833-09-01,16.113
1833-10-01,9.247
1833-11-01,2.833
1833-12-01,-0.9179999999999999
1834-01-01,-4.558
1834-02-01,1.475
1834-03-01,3.307
1834-04-01,9.319
1834-05-01,14.130999999999998
1834-06-01,18.643
1834-07-01,23.326
1834-08-01,20.775
1834-09-01,16.153
1834-10-01,8.427999999999999
1834-11-01,3.103
1834-12-01,-2.2880000000000003
1835-01-01,-3.81
1835-02-01,-4.937
1835-03-01,1.079
1835-04-01,7.606
1835-05-01,14.537
1835-06-01,19.254
1835-07-01,21.758000000000006
1835-08-01,20.067
1835-09-01,14.264
1835-10-01,11.718
1835-11-01,4.59
1835-12-01,-4.426
1836-01-01,-3.985
1836-02-01,-7.0379999999999985
1836-03-01,-1.0
1836-04-01,7.091000000000001
1836-05-01,14.962000000000002
1836-06-01,17.855999999999995
1836-07-01,21.836
1836-08-01,18.567
1836-09-01,16.142
1836-10-01,6.387999999999999
1836-11-01,2.044
1836-12-01,-2.6910000000000003
1837-01-01,-6.13
1837-02-01,-2.8840000000000003
1837-03-01,0.6739999999999999
1837-04-01,6.823
1837-05-01,13.327
1837-06-01,18.45
1837-07-01,20.317
1837-08-01,19.473
1837-09-01,15.002
1837-10-01,9.222
1837-11-01,4.322
1837-12-01,-1.152
1838-01-01,0.03000000000000025
1838-02-01,-6.68
1838-03-01,3.005
1838-04-01,5.819000000000001
1838-05-01,12.951
1838-06-01,20.913
1838-07-01,23.811
1838-08-01,21.735
1838-09-01,16.805
1838-10-01,8.553999999999998
1838-11-01,1.849
1838-12-01,-4.002
1839-01-01,-3.523
1839-02-01,-1.3010000000000002
1839-03-01,2.71
1839-04-01,9.949
1839-05-01,14.723
1839-06-01,17.493000000000002
1839-07-01,21.913
1839-08-01,19.658
1839-09-01,16.480999999999998
1839-10-01,11.094
1839-11-01,2.03
1839-12-01,-1.186
1840-01-01,-6.987
1840-02-01,0.6579999999999999
1840-03-01,3.758
1840-04-01,10.104
1840-05-01,14.932
1840-06-01,19.101
1840-07-01,21.937
1840-08-01,21.611
1840-09-01,15.310999999999998
1840-10-01,10.142
1840-11-01,3.862
1840-12-01,-3.145
1841-01-01,-2.384
1841-02-01,-3.845
1841-03-01,1.785
1841-04-01,6.6629999999999985
1841-05-01,13.312000000000001
1841-06-01,20.96
1841-07-01,21.768
1841-08-01,21.321
1841-09-01,17.83
1841-10-01,7.677999999999999
1841-11-01,3.335
1841-12-01,-0.433
1842-01-01,-1.2229999999999999
1842-02-01,1.045
1842-03-01,5.699
1842-04-01,9.697000000000001
1842-05-01,13.233
1842-06-01,18.047
1842-07-01,22.087
1842-08-01,20.521
1842-09-01,15.845999999999998
1842-10-01,8.968
1842-11-01,1.564
1842-12-01,-2.579
1843-01-01,-0.29899999999999993
1843-02-01,-6.1320000000000014
1843-03-01,-3.095
1843-04-01,7.6880000000000015
1843-05-01,13.886
1843-06-01,19.624
1843-07-01,21.662
1843-08-01,21.385
1843-09-01,17.811999999999994
1843-10-01,8.443
1843-11-01,1.92
1843-12-01,-1.0
1844-01-01,-6.5280000000000005
1844-02-01,-2.802
1844-03-01,2.862
1844-04-01,11.526
1844-05-01,16.139
1844-06-01,19.193
1844-07-01,21.457
1844-08-01,20.441
1844-09-01,16.433999999999994
1844-10-01,9.099
1844-11-01,3.221
1844-12-01,-1.6569999999999998
1845-01-01,-1.403
1845-02-01,-2.004
1845-03-01,4.099
1845-04-01,8.913
1845-05-01,13.932
1845-06-01,19.628
1845-07-01,22.461
1845-08-01,22.139
1845-09-01,16.084
1845-10-01,10.335999999999999
1845-11-01,4.926
1845-12-01,-5.252000000000002
1846-01-01,-2.6639999999999997
1846-02-01,-4.496
1846-03-01,2.938
1846-04-01,9.825
1846-05-01,15.503
1846-06-01,18.63
1846-07-01,21.292
1846-08-01,21.46
1846-09-01,19.076
1846-10-01,9.424
1846-11-01,6.455
1846-12-01,-1.5759999999999998
1847-01-01,-2.556
1847-02-01,-2.094
1847-03-01,0.625
1847-04-01,7.8320000000000025
1847-05-01,14.436
1847-06-01,18.849
1847-07-01,22.476
